Id,OverallQual,YearBuilt,YearRemodAdd,TotalBsmtSF,1stFlrSF,GrLivArea,FullBath,TotRmsAbvGrd,GarageCars,SalePrice,MSZoning,Utilities,BldgType,KitchenQual,SaleCondition,LandSlope
25,5,1968,2001,1060,1060,1060,1,6,1,154000,RL,AllPub,1Fam,Gd,Normal,Gtl
26,8,2007,2007,1566,1600,1600,2,7,3,256300,RL,AllPub,1Fam,Gd,Normal,Gtl
27,5,1951,2000,900,900,900,1,5,2,134800,RL,AllPub,1Fam,Gd,Normal,Gtl
28,8,2007,2008,1704,1704,1704,2,7,3,306000,RL,AllPub,1Fam,Gd,Normal,Gtl
29,5,1957,1997,1484,1600,1600,1,6,1,207500,RL,AllPub,1Fam,TA,Normal,Gtl
30,4,1927,1950,520,520,520,1,4,1,68500,RM,AllPub,1Fam,Fa,Normal,Gtl
31,4,1920,1950,649,649,1317,1,6,1,40000,C (all),AllPub,1Fam,TA,Normal,Gtl
32,5,1966,2006,1228,1228,1228,1,6,1,149350,RL,AllPub,1Fam,Gd,Normal,Gtl
33,8,2007,2007,1234,1234,1234,2,7,2,179900,RL,AllPub,1Fam,Gd,Normal,Gtl
34,5,1959,1959,1398,1700,1700,1,6,2,165500,RL,AllPub,1Fam,Gd,Normal,Gtl
35,9,2005,2005,1561,1561,1561,2,6,2,277500,RL,AllPub,TwnhsE,Ex,Normal,Gtl
36,8,2004,2005,1117,1132,2452,3,9,3,309000,RL,AllPub,1Fam,Gd,Normal,Gtl
37,5,1994,1995,1097,1097,1097,1,6,2,145000,RL,AllPub,1Fam,TA,Normal,Gtl
38,5,1954,1990,1297,1297,1297,1,5,2,153000,RL,AllPub,1Fam,TA,Normal,Gtl
39,5,1953,2007,1057,1057,1057,1,5,1,109000,RL,AllPub,1Fam,Gd,Abnorml,Gtl
40,4,1955,1955,0,1152,1152,2,6,0,82000,RL,AllPub,Duplex,Fa,AdjLand,Gtl
41,6,1965,1965,1088,1324,1324,2,6,2,160000,RL,AllPub,1Fam,TA,Abnorml,Gtl
42,5,1959,1959,1350,1328,1328,1,5,1,170000,RL,AllPub,1Fam,TA,Normal,Gtl
43,5,1983,1983,840,884,884,1,5,2,144000,RL,AllPub,1Fam,Gd,Normal,Gtl
44,5,1975,1980,938,938,938,1,5,1,130250,RL,AllPub,1Fam,TA,Normal,Gtl
45,5,1959,1959,1150,1150,1150,1,6,1,141000,RL,AllPub,1Fam,TA,Normal,Gtl
46,9,2005,2005,1752,1752,1752,2,6,2,319900,RL,AllPub,TwnhsE,Ex,Normal,Gtl
47,7,2003,2003,1434,1518,2149,1,6,2,239686,RL,AllPub,1Fam,Gd,Abnorml,Gtl
48,8,2006,2006,1656,1656,1656,2,7,3,249700,FV,AllPub,1Fam,Gd,Normal,Gtl
49,4,1920,2008,736,736,1452,2,8,0,113000,RM,AllPub,2fmCon,TA,Partial,Gtl
50,5,1966,1966,955,955,955,1,6,1,127000,RL,AllPub,1Fam,TA,Normal,Gtl
51,6,1997,1997,794,794,1470,2,6,2,177000,RL,AllPub,1Fam,TA,Normal,Gtl
52,6,1934,1950,816,816,1176,1,6,2,114500,RM,AllPub,1Fam,TA,Normal,Gtl
53,5,1963,1963,816,816,816,1,5,2,110000,RM,AllPub,Duplex,TA,Normal,Mod
54,9,1981,1987,1842,1842,1842,0,5,3,385000,RL,AllPub,1Fam,Gd,Normal,Gtl
55,5,1955,1955,384,1360,1360,1,6,2,130000,RL,AllPub,1Fam,TA,Normal,Mod
56,6,1964,1964,1425,1425,1425,2,7,2,180500,RL,AllPub,1Fam,TA,Normal,Gtl
57,8,1999,2000,970,983,1739,2,7,2,172500,FV,AllPub,Twnhs,Gd,Abnorml,Gtl
58,7,2004,2004,860,860,1720,2,7,2,196500,RL,AllPub,1Fam,Gd,Normal,Gtl
59,10,2006,2006,1410,1426,2945,3,10,3,438780,RL,AllPub,1Fam,Gd,Partial,Gtl
60,5,1972,1972,780,780,780,1,4,1,124900,RL,AllPub,1Fam,TA,Normal,Gtl
61,6,2004,2004,1158,1158,1158,1,5,2,158000,RL,AllPub,1Fam,Gd,Partial,Gtl
62,5,1920,1996,530,581,1111,1,6,1,101000,RM,AllPub,1Fam,Fa,Normal,Gtl
63,8,2006,2006,1370,1370,1370,2,6,2,202500,RL,AllPub,TwnhsE,Gd,Normal,Gtl
64,7,1921,1950,576,902,1710,2,9,2,140000,RM,AllPub,1Fam,TA,Normal,Gtl
65,7,1997,1998,1057,1057,2034,2,8,2,219500,RL,AllPub,1Fam,Gd,Normal,Gtl
66,8,2004,2005,1143,1143,2473,2,9,3,317000,RL,AllPub,1Fam,Gd,Normal,Gtl
67,7,1970,1989,1947,2207,2207,2,7,2,180000,RL,AllPub,1Fam,TA,Normal,Gtl
68,7,2003,2003,1453,1479,1479,2,7,2,226000,RL,AllPub,1Fam,Gd,Normal,Gtl
69,4,1945,1950,747,747,747,1,4,1,80000,RM,AllPub,1Fam,TA,Normal,Gtl
70,7,1953,1953,1304,1304,2287,2,7,2,225000,RL,AllPub,1Fam,TA,Normal,Gtl
71,7,1973,1973,2223,2223,2223,2,8,2,244000,RL,AllPub,1Fam,TA,Normal,Gtl
72,4,1982,2006,845,845,845,1,4,2,129500,RL,AllPub,1Fam,TA,Normal,Gtl
73,7,1998,1998,832,885,1718,2,7,2,185000,RL,AllPub,1Fam,TA,Normal,Gtl
74,5,1954,2003,1086,1086,1086,1,6,2,144900,RL,AllPub,1Fam,TA,Normal,Gtl
75,3,1915,1950,840,840,1605,2,8,1,107400,RM,AllPub,1Fam,TA,Normal,Gtl
76,4,1973,1973,462,526,988,1,5,1,91000,RM,AllPub,Twnhs,TA,Normal,Gtl
77,4,1956,1956,952,952,952,1,4,1,135750,RL,AllPub,1Fam,TA,Normal,Gtl
78,5,1948,2001,672,1072,1285,1,6,1,127000,RM,AllPub,1Fam,TA,Normal,Gtl
79,4,1968,1968,1768,1768,1768,2,8,0,136500,RL,AllPub,Duplex,TA,Normal,Gtl
80,5,1910,1981,440,682,1230,1,5,2,110000,RM,AllPub,1Fam,TA,Normal,Gtl
81,6,1968,1968,896,1182,2142,2,8,1,193500,RL,AllPub,1Fam,Gd,Normal,Gtl
82,6,1998,1998,1237,1337,1337,2,5,2,153500,RM,AllPub,TwnhsE,TA,Normal,Gtl
83,8,2007,2007,1563,1563,1563,2,6,3,245000,RL,AllPub,1Fam,Gd,Normal,Gtl
84,5,1960,1960,1065,1065,1065,1,6,2,126500,RL,AllPub,1Fam,TA,Normal,Gtl
85,7,1995,1996,384,804,1474,2,7,2,168500,RL,AllPub,1Fam,TA,Normal,Gtl
86,8,1991,1992,1288,1301,2417,2,9,2,260000,RL,AllPub,1Fam,Gd,Normal,Gtl
87,6,2005,2005,684,684,1560,2,6,2,174000,RL,AllPub,1Fam,Gd,Normal,Gtl
88,6,2009,2009,612,612,1224,2,4,2,164500,FV,AllPub,TwnhsE,Gd,Partial,Gtl
89,3,1915,1982,1013,1013,1526,1,6,0,85000,C (all),AllPub,1Fam,Fa,Abnorml,Gtl
90,4,1994,1995,990,990,990,1,5,0,123600,RL,AllPub,1Fam,TA,Normal,Gtl
91,4,1950,1950,0,1040,1040,1,4,2,109900,RL,AllPub,1Fam,TA,Normal,Gtl
92,5,1961,1961,1235,1235,1235,1,6,2,98600,RL,AllPub,1Fam,TA,Abnorml,Gtl
93,5,1921,2006,876,964,964,1,5,2,163500,RL,AllPub,1Fam,TA,Normal,Gtl
94,6,1910,1998,1214,1260,2291,2,9,2,133900,C (all),AllPub,2fmCon,TA,Normal,Gtl
95,6,1997,1997,824,905,1786,2,7,2,204750,RL,AllPub,1Fam,Gd,Normal,Gtl
96,6,1993,1993,680,680,1470,2,6,2,185000,RL,AllPub,1Fam,TA,Normal,Gtl
97,7,1999,1999,1588,1588,1588,2,6,2,214000,RL,AllPub,1Fam,Gd,Normal,Gtl
98,4,1965,1965,960,960,960,1,6,1,94750,RL,AllPub,1Fam,TA,Normal,Gtl
99,5,1920,1950,458,835,835,1,5,1,83000,RL,AllPub,1Fam,TA,Abnorml,Gtl
100,4,1959,1959,950,1225,1225,1,6,0,128950,RL,AllPub,1Fam,TA,Normal,Gtl
101,6,1977,2001,1610,1610,1610,2,6,2,205000,RL,AllPub,1Fam,Gd,Normal,Gtl
102,6,1985,1985,741,977,1732,2,7,2,178000,RL,AllPub,1Fam,Gd,Normal,Gtl
103,5,1979,1979,0,1535,1535,2,8,2,118964,RL,AllPub,Duplex,TA,Alloca,Gtl
104,7,2009,2009,1226,1226,1226,2,6,3,198900,RL,AllPub,1Fam,Gd,Normal,Gtl
105,7,1931,1950,1040,1226,1818,1,7,1,169500,RM,AllPub,1Fam,TA,Normal,Gtl
106,8,2003,2004,1053,1053,1992,2,9,2,250000,FV,AllPub,1Fam,Gd,Normal,Gtl
107,4,1885,1995,641,1047,1047,1,6,1,100000,RM,AllPub,1Fam,TA,Normal,Gtl
108,5,1948,1950,789,789,789,1,5,1,115000,RM,AllPub,1Fam,TA,Partial,Gtl
109,5,1919,2005,793,997,1517,2,7,0,115000,RM,AllPub,1Fam,Fa,Normal,Gtl
110,6,1977,1977,1844,1844,1844,2,7,2,190000,RL,AllPub,1Fam,TA,Normal,Gtl
111,6,1954,1972,994,1216,1855,2,7,1,136900,RL,AllPub,1Fam,TA,Normal,Gtl
112,7,2000,2000,384,774,1430,2,7,2,180000,RL,AllPub,1Fam,TA,Normal,Gtl
113,7,2007,2007,1264,1282,2696,2,10,3,383970,RL,AllPub,1Fam,Ex,Partial,Gtl
114,6,1953,1953,1809,2259,2259,2,7,2,217000,RL,AllPub,1Fam,Gd,Abnorml,Gtl
115,6,1945,2002,1028,1436,2320,2,9,1,259500,RL,AllPub,1Fam,Gd,Normal,Mod
116,6,1999,1999,729,729,1458,2,5,2,176000,FV,AllPub,TwnhsE,TA,Normal,Gtl
117,5,1962,1962,1092,1092,1092,1,6,1,139000,RL,AllPub,1Fam,TA,Normal,Gtl
118,5,2006,2007,1125,1125,1125,1,5,2,155000,RL,AllPub,1Fam,TA,Partial,Gtl
119,7,1990,1990,1673,1699,3222,3,11,3,320000,RL,AllPub,1Fam,Gd,Normal,Gtl
120,6,2005,2006,728,728,1456,2,8,2,163990,RL,AllPub,1Fam,Gd,Partial,Gtl
121,6,1969,1969,938,988,988,1,4,2,180000,RL,AllPub,1Fam,TA,Normal,Sev
122,4,1939,1950,732,772,1123,1,4,1,100000,RM,AllPub,1Fam,TA,Normal,Gtl
123,6,1958,1958,1080,1080,1080,1,5,1,136000,RL,AllPub,1Fam,TA,Normal,Gtl
124,6,1993,1993,1199,1199,1199,2,5,2,153900,RL,AllPub,TwnhsE,Gd,Normal,Gtl
125,6,1979,1998,1362,1586,1586,2,7,2,181000,RL,AllPub,1Fam,TA,Normal,Gtl
126,6,1935,1982,520,520,754,1,5,0,84500,RM,AllPub,2fmCon,TA,Normal,Gtl
127,6,1976,1976,1078,958,958,2,5,2,128000,RL,AllPub,TwnhsE,TA,Normal,Gtl
128,5,1930,1950,672,840,840,1,5,0,87000,RM,AllPub,1Fam,TA,Normal,Gtl
129,6,1966,1966,660,660,1348,1,6,2,155000,RL,AllPub,1Fam,TA,Normal,Gtl
130,5,1958,1991,1008,1053,1053,1,6,2,150000,RL,AllPub,1Fam,Ex,Abnorml,Gtl
131,7,1966,1966,924,1216,2157,2,8,2,226000,RL,AllPub,1Fam,Gd,Normal,Gtl
132,6,2000,2000,992,1022,2054,2,7,2,244000,RL,AllPub,1Fam,Gd,Normal,Gtl
133,5,1959,2002,1063,1327,1327,1,7,2,150750,RL,AllPub,1Fam,Gd,Normal,Gtl
134,8,2001,2002,1267,1296,1296,2,6,2,220000,RL,AllPub,1Fam,Gd,Normal,Gtl
135,5,1968,1993,1461,1721,1721,2,7,2,180000,RL,AllPub,1Fam,TA,Normal,Gtl
136,7,1970,1970,1304,1682,1682,2,7,2,174000,RL,AllPub,1Fam,TA,Normal,Gtl
137,5,1967,1967,1214,1214,1214,2,5,1,143000,RL,AllPub,1Fam,TA,Normal,Gtl
138,7,1988,1989,1907,1959,1959,3,9,3,171000,RL,AllPub,Duplex,TA,Family,Gtl
139,8,1999,2000,1004,1004,1852,2,7,3,230000,RL,AllPub,1Fam,Gd,Normal,Gtl
140,6,1997,1997,928,928,1764,2,7,2,231500,RL,AllPub,1Fam,Gd,Normal,Gtl
141,4,1971,1971,864,864,864,1,5,0,115000,RL,AllPub,1Fam,TA,Normal,Gtl
142,7,2005,2005,1734,1734,1734,2,7,2,260000,RL,AllPub,1Fam,Gd,Normal,Gtl
143,5,1952,1952,910,910,1385,2,6,2,166000,RL,AllPub,1Fam,TA,Normal,Gtl
144,7,1999,1999,1490,1501,1501,2,6,2,204000,RL,AllPub,1Fam,Gd,Normal,Gtl
145,5,1963,1963,1728,1728,1728,2,10,2,125000,RM,AllPub,Duplex,TA,Abnorml,Gtl
146,6,2004,2006,970,970,1709,2,7,2,130000,RM,AllPub,Twnhs,Gd,Normal,Gtl
147,5,1931,1993,715,875,875,1,5,1,105000,RM,AllPub,1Fam,TA,Normal,Gtl
148,7,2001,2001,884,884,2035,2,8,2,222500,RL,AllPub,1Fam,Gd,Normal,Gtl
149,7,2004,2005,1080,1080,1080,1,6,0,141000,RL,AllPub,1Fam,Gd,Normal,Gtl
150,5,1936,1950,896,896,1344,1,7,1,115000,RM,AllPub,1Fam,TA,Normal,Gtl
151,5,1975,1975,969,969,969,1,5,2,122000,RL,AllPub,1Fam,TA,Normal,Gtl
152,8,2007,2008,1710,1710,1710,2,6,3,372402,RL,AllPub,1Fam,Gd,Partial,Gtl
153,6,1971,1971,825,1097,1993,2,8,2,190000,RL,AllPub,1Fam,TA,Normal,Gtl
154,6,1960,1975,1602,1252,1252,1,4,2,235000,RL,AllPub,1Fam,TA,Normal,Gtl
155,6,1923,1950,1200,1200,1200,1,7,1,125000,RM,AllPub,1Fam,TA,Family,Gtl
156,6,1924,1950,572,572,1096,1,5,0,79000,RL,AllPub,1Fam,TA,Normal,Gtl
157,5,1950,1950,0,1040,1040,1,5,2,109500,RL,AllPub,1Fam,TA,Normal,Gtl
158,8,2009,2010,774,774,1968,2,8,3,269500,RL,AllPub,1Fam,Ex,Partial,Gtl
159,7,2004,2005,991,991,1947,2,8,2,254900,FV,AllPub,1Fam,Gd,Normal,Gtl
160,7,2005,2006,1392,1392,2462,2,9,2,320000,RL,AllPub,1Fam,Gd,Partial,Gtl
161,6,1984,1984,1232,1232,1232,2,6,2,162500,RL,AllPub,1Fam,TA,Normal,Gtl
162,9,2003,2004,1572,1572,2668,2,10,3,412500,RL,AllPub,1Fam,Ex,Normal,Gtl
163,7,2005,2005,1541,1541,1541,2,7,2,220000,RL,AllPub,1Fam,Gd,Partial,Gtl
164,4,1956,1956,882,882,882,1,4,0,103200,RL,AllPub,1Fam,TA,Normal,Gtl
165,6,1926,2004,1149,1149,1616,2,5,1,152000,RM,AllPub,1Fam,Gd,Normal,Gtl
166,5,1940,1999,644,808,1355,2,6,0,127500,RL,AllPub,2fmCon,TA,Normal,Gtl
167,5,1955,1993,1617,1867,1867,1,7,1,190000,RL,AllPub,1Fam,TA,Normal,Gtl
168,8,2007,2007,1582,1610,2161,1,8,3,325624,RL,AllPub,1Fam,Ex,Partial,Gtl
169,7,2004,2004,840,840,1720,2,7,2,183500,RL,AllPub,1Fam,Gd,Normal,Gtl
170,8,1981,1981,1686,1707,1707,2,6,2,228000,RL,AllPub,1Fam,TA,Normal,Gtl
171,5,1941,1950,720,854,1382,1,7,2,128500,RM,AllPub,1Fam,TA,Normal,Gtl
172,6,1960,1960,1080,1656,1656,1,7,2,215000,RL,AllPub,1Fam,TA,Normal,Gtl
173,7,1987,1987,1064,1064,1767,2,5,2,239000,RL,AllPub,TwnhsE,Gd,Normal,Gtl
174,6,1961,1961,1362,1362,1362,1,6,2,163000,RL,AllPub,1Fam,TA,Normal,Gtl
175,6,1986,1986,1606,1651,1651,2,7,2,184000,RL,AllPub,1Fam,TA,Normal,Gtl
176,6,1950,2001,1202,2158,2158,2,7,2,243000,RL,AllPub,1Fam,Gd,Normal,Gtl
177,6,1988,1989,1151,1164,2060,2,8,2,211000,RL,AllPub,1Fam,TA,Normal,Gtl
178,5,1958,1958,1052,1252,1920,2,8,2,172500,RL,AllPub,1Fam,Gd,Normal,Gtl
179,9,2008,2009,2216,2234,2234,2,9,3,501837,RL,AllPub,1Fam,Ex,Partial,Gtl
180,5,1923,2006,968,968,968,1,5,2,100000,RM,AllPub,1Fam,TA,Normal,Gtl
181,6,2000,2000,756,769,1525,2,5,2,177000,FV,AllPub,Twnhs,Gd,Normal,Gtl
182,7,1920,1950,793,901,1802,1,9,1,200100,RL,AllPub,1Fam,TA,Normal,Gtl
183,5,1957,2006,0,1340,1340,1,7,1,120000,RL,AllPub,1Fam,TA,Normal,Gtl
184,7,2003,2003,1362,1362,2082,2,6,2,200000,RM,AllPub,1Fam,Gd,Normal,Gtl
185,5,1908,1991,504,936,1252,1,5,2,127000,RL,AllPub,1Fam,TA,Normal,Gtl
186,10,1892,1993,1107,1518,3608,2,12,3,475000,RM,AllPub,1Fam,Ex,Normal,Gtl
187,7,1990,1991,1188,1217,1217,2,6,2,173000,RL,AllPub,1Fam,Gd,Normal,Gtl
188,5,1916,1987,660,808,1656,2,8,1,135000,RL,AllPub,1Fam,TA,Normal,Gtl
189,5,1979,1979,1086,1224,1224,0,6,2,153337,RL,AllPub,Duplex,TA,Alloca,Gtl
190,8,2001,2002,1593,1593,1593,1,5,2,286000,RL,AllPub,TwnhsE,Ex,Normal,Gtl
191,8,1932,1994,853,1549,2727,2,10,2,315000,RL,AllPub,1Fam,Gd,Normal,Mod
192,7,1972,2004,725,725,1479,1,7,2,184000,RL,AllPub,1Fam,Gd,Normal,Gtl
193,7,1999,1999,1431,1431,1431,2,6,2,192000,RL,AllPub,1Fam,Gd,Normal,Gtl
194,7,2004,2004,970,970,1709,2,7,2,130000,RM,AllPub,Twnhs,Gd,Normal,Gtl
195,5,1972,1972,864,864,864,1,5,1,127000,RL,AllPub,1Fam,TA,Normal,Gtl
196,6,1976,1976,855,855,1456,2,7,2,148500,RL,AllPub,Twnhs,TA,Normal,Gtl
197,7,2007,2007,1726,1726,1726,2,8,3,311872,RL,AllPub,1Fam,Ex,Partial,Gtl
198,8,1918,1990,1360,1360,3112,2,8,2,235000,RL,AllPub,1Fam,Gd,Abnorml,Gtl
199,6,1912,1950,755,929,2229,1,8,0,104000,RM,AllPub,1Fam,TA,Abnorml,Gtl
200,8,2004,2005,1713,1713,1713,2,7,3,274900,RL,AllPub,1Fam,Ex,Normal,Gtl
201,4,2003,2004,1121,1121,1121,2,5,2,140000,RM,AllPub,1Fam,TA,Normal,Gtl
202,6,1977,1977,1196,1279,1279,2,6,2,171500,RL,AllPub,1Fam,TA,Normal,Gtl
203,6,1924,1950,617,865,1310,2,6,1,112000,RL,AllPub,1Fam,TA,Normal,Gtl
204,6,2004,2004,848,848,848,1,3,2,149000,RM,AllPub,TwnhsE,Gd,Normal,Gtl
205,5,1947,1950,720,720,1284,1,5,1,110000,RM,AllPub,1Fam,TA,Normal,Gtl
206,7,1990,1990,1424,1442,1442,2,5,2,180500,RL,AllPub,1Fam,TA,Normal,Gtl
207,5,1962,1962,1140,1696,1696,1,8,1,143900,RL,AllPub,1Fam,TA,Normal,Gtl
208,4,1960,1960,1100,1100,1100,1,6,1,141000,RL,AllPub,1Fam,TA,Normal,Gtl
209,7,1988,1989,1157,1180,2062,2,7,2,277000,RL,AllPub,1Fam,TA,Normal,Mod
210,6,1964,1964,1092,1092,1092,1,6,2,145000,RL,AllPub,1Fam,TA,Normal,Gtl
211,5,1925,1950,864,864,864,1,5,0,98000,RL,AllPub,1Fam,TA,Normal,Gtl
212,6,2009,2009,1212,1212,1212,2,6,2,186000,RL,AllPub,1Fam,Gd,Normal,Gtl
213,7,2009,2009,900,932,1852,2,7,2,252678,FV,AllPub,1Fam,Gd,Partial,Gtl
214,5,1995,1995,990,990,990,1,5,2,156000,RL,AllPub,1Fam,TA,Normal,Gtl
215,6,1977,1977,689,689,1392,1,6,1,161750,RL,AllPub,1Fam,TA,Normal,Gtl
216,5,1957,1996,1070,1236,1236,1,6,1,134450,RL,AllPub,1Fam,Gd,Normal,Gtl
217,7,2004,2004,1436,1436,1436,2,8,2,210000,RL,AllPub,1Fam,Gd,Normal,Gtl
218,4,1925,1950,686,810,1328,1,8,1,107000,RM,AllPub,1Fam,TA,Family,Gtl
219,7,1939,2006,798,1137,1954,1,8,2,311500,RL,AllPub,1Fam,Gd,Normal,Gtl
220,7,2005,2006,1248,1248,1248,2,5,2,167240,RL,AllPub,TwnhsE,Gd,Partial,Gtl
221,7,2006,2006,1498,1498,1498,2,5,2,204900,RL,AllPub,1Fam,Gd,Partial,Gtl
222,6,2002,2002,1010,1010,2267,2,8,2,200000,RL,AllPub,1Fam,Gd,Normal,Gtl
223,6,1975,1975,713,811,1552,2,6,2,179900,RL,AllPub,1Fam,TA,Normal,Gtl
224,4,1971,1971,864,864,864,1,4,2,97000,RL,AllPub,1Fam,TA,Abnorml,Gtl
225,10,2003,2003,2392,2392,2392,2,8,3,386250,RL,AllPub,1Fam,Ex,Normal,Gtl
226,5,1971,1971,630,630,1302,2,6,1,112000,RM,AllPub,Twnhs,TA,Abnorml,Gtl
227,7,1995,1995,1203,1214,2520,2,9,3,290000,RL,AllPub,1Fam,Gd,Abnorml,Gtl
228,6,1970,1970,483,483,987,1,5,1,106000,RM,AllPub,Twnhs,TA,Normal,Gtl
229,5,1967,1967,912,912,912,1,5,1,125000,RL,AllPub,1Fam,TA,Normal,Gtl
230,7,2005,2006,1373,1555,1555,2,7,2,192500,RL,AllPub,TwnhsE,Gd,Normal,Gtl
231,6,1959,1959,1194,1194,1194,1,6,1,148000,RL,AllPub,1Fam,TA,Normal,Gtl
232,8,1995,1996,1462,1490,2794,2,9,3,403000,RL,AllPub,1Fam,Ex,Normal,Gtl
233,6,1972,1972,483,483,987,1,5,1,94500,RM,AllPub,Twnhs,TA,Normal,Gtl
234,5,1976,1976,894,894,894,1,5,1,128200,RL,AllPub,1Fam,TA,Normal,Gtl
235,6,2002,2002,860,860,1960,2,8,2,216500,RL,AllPub,1Fam,Gd,Normal,Gtl
236,6,1971,1971,483,483,987,1,5,1,89500,RM,AllPub,TwnhsE,TA,Normal,Gtl
237,7,2004,2004,1414,1414,1414,2,6,2,185500,RL,AllPub,1Fam,Gd,Normal,Gtl
238,7,1993,2003,996,1014,1744,2,7,2,194500,RL,AllPub,1Fam,Gd,Normal,Gtl
239,8,2007,2007,1694,1694,1694,2,7,3,318000,RL,AllPub,1Fam,Gd,Partial,Gtl
240,6,1945,1950,735,798,1487,1,7,1,113000,RL,AllPub,1Fam,TA,Normal,Gtl
241,8,2008,2008,1566,1566,1566,2,7,2,262500,FV,AllPub,1Fam,Gd,Normal,Gtl
242,5,1945,1997,686,866,866,1,4,0,110500,RM,AllPub,1Fam,Gd,Normal,Gtl
243,5,1900,1950,540,889,1440,1,6,1,79000,RM,AllPub,1Fam,TA,Normal,Gtl
244,6,1980,1980,626,626,1217,1,6,1,120000,RL,AllPub,TwnhsE,TA,Normal,Gtl
245,7,1994,2002,948,1222,2110,2,8,2,205000,RL,AllPub,1Fam,Gd,Normal,Gtl
246,7,1988,1988,1845,1872,1872,2,6,2,241500,RL,AllPub,1Fam,TA,Normal,Gtl
247,6,1910,1950,1020,908,1928,2,9,1,137000,RM,AllPub,2fmCon,Fa,Normal,Gtl
248,6,1954,1954,1367,1375,1375,1,5,2,140000,RL,AllPub,1Fam,TA,Normal,Gtl
249,7,2003,2003,840,840,1668,2,8,2,180000,RL,AllPub,1Fam,Gd,Normal,Gtl
250,6,1958,2006,1444,1444,2144,2,7,2,277000,RL,AllPub,1Fam,Gd,Normal,Sev
251,3,1940,1966,728,1306,1306,1,6,0,76500,RL,AllPub,1Fam,Fa,Normal,Gtl
252,8,2006,2007,1573,1625,1625,2,5,2,235000,RM,AllPub,TwnhsE,Gd,Family,Mod
253,6,2004,2004,798,798,1640,2,6,2,173000,RL,AllPub,1Fam,Gd,Normal,Gtl
254,6,1964,1991,1302,1302,1302,2,7,1,158000,RL,AllPub,1Fam,Gd,Normal,Gtl
255,5,1957,1957,1314,1314,1314,1,5,1,145000,RL,AllPub,1Fam,TA,Normal,Gtl
256,7,1999,1999,975,1005,2291,2,8,2,230000,RL,AllPub,1Fam,Gd,Normal,Gtl
257,6,2003,2003,864,864,1728,2,7,2,207500,FV,AllPub,1Fam,Gd,Normal,Gtl
258,7,2006,2006,1604,1604,1604,2,8,2,220000,RL,AllPub,1Fam,Gd,Abnorml,Gtl
259,7,2001,2001,963,963,1792,2,7,2,231500,RL,AllPub,1Fam,Gd,Normal,Gtl
260,5,1956,1956,0,882,882,1,4,1,97000,RM,AllPub,1Fam,TA,Normal,Gtl
